ISIN,Nombre,Ticker,Gestora,TipoProducto,EstiloGestion,Estrategia,PoliticaDiv,Divisa,EsHedged,TER,EscalaRiesgo,ClaseActivo,Expo_RV,Expo_RF,Expo_Monet,Expo_Alt,Geo_RV_USA,Geo_RV_Europa,Geo_RV_Japon,Geo_RV_Canada,Geo_RV_China,Geo_RV_India,Geo_RV_Taiwan,Geo_RV_Korea,Geo_RV_Brasil,Geo_RV_Emergentes_Otros,Geo_RV_Otros,Geo_RF_USA,Geo_RF_Europa,Geo_RF_Emergentes,Geo_RF_Otros,Sec_Tecnologia,Sec_Salud,Sec_Finanzas,Sec_Consumo,Sec_Industrial,Sec_Energia,Sec_Otros,RF_Duracion,RF_Calidad,RF_Gobierno,RF_Corporativo,RF_Yield,Ret_1Y,Ret_3Y_Ann,Ret_5Y_Ann,Volatilidad_3Y,Sharpe_3Y,Alpha_3Y,Beta_3Y
IE0031786696,Vanguard Emerging Markets Stock Index Fund EUR Acc, ,Vanguard,Fondo,Pasiva,Core,Acc,EUR,No,0.0023,4,RV,1,0,0,0,0,0,0,0,0.202,0.107,0.266,0.232,0.038,0.155,0,0,0,0,0,0.438,0.023,0.178,0.11,0.068,0.033,0.15,0,Ninguna,0,0,0,0.3856,0.1906,0.0755,0.1585,,,
IE00BYX5NX33,Fidelity MSCI World Index Fund P-ACC-EUR, ,Fidelity,Fondo,Pasiva,Core,Acc,EUR,No,0.0012,4,RV,1,0,0,0,0.7266,0.1276,0.0563,0.0332,0,0,0,0,0,0,0.0563,0,0,0,0,0.299,0.083,0.15,0.138,0.11,0.037,0.183,0,Ninguna,0,0,0,0.2339,0.1737,0.1203,0.1165,,,
IE00B03HD316,Vanguard Global Stock Index Fund EUR Hedged Acc, ,Vanguard,Fondo,Pasiva,Core,Acc,EUR,Si,0.0018,4,RV,1,0,0,0,0.725,0.128,0.057,0.033,0,0,0,0,0,0,0.057,0,0,0,0,0.307,0.086,0.152,0.141,0.113,0.038,0.163,0,Ninguna,0,0,0,0.192,0.1689,0.1009,0.1153,,,
LU0261952682,Fidelity Funds - Euro STOXX 50 Fund A-Acc-EUR, ,Fidelity,Fondo,Pasiva,Core,Acc,EUR,No,0.002,4,RV,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,0.04,0.264,0.154,0.208,0.046,0.116,0,Ninguna,0,0,0,0.2213,0.1616,0.1244,0.1257,1.05,0.0037,1.01
LU0625737910,Pictet-China Index P EUR, ,Pictet,Fondo,Pasiva,Core,Acc,EUR,No,0.0068,5,RV,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1212,0.0481,0.1877,0.2768,0.0586,0.0357,0.272,0,Ninguna,0,0,0,-0.0109,0.0778,-0.0395,0.2228,,-0.0065,1
IE00BYX5N771,Fidelity MSCI Japan Index Fund P-ACC-EUR, ,Fidelity,Fondo,Pasiva,Core,Acc,EUR,No,0.001,4,RV,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.056,0.172,0.186,0.248,0.009,0.149,0,Ninguna,0,0,0,0.355,0.1701,0.1035,0.1317,,,
IE00B5BMR087,iShares Core S&P 500 UCITS ETF,CSPX,iShares,ETF,Pasiva,Core,Acc,USD,No,0.0007,5,RV,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3848,0.0829,0.1127,0.1424,0.0828,0.0313,0.1631,0,Ninguna,0,0,0,0.2946,0.2329,0.1384,,,,1
IE00BYX5MX67,Fidelity S&P 500 Index Fund P-ACC-EUR, ,Fidelity,Fondo,Pasiva,Core,Acc,EUR,No,0.0006,4,RV,1,0,0,0,0.995,0.003,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0.386,0.083,0.113,0.142,0.083,0.031,0.162,0,Ninguna,0,0,0,0.2311,0.1827,0.1327,0.1302,,,
ES0146309002,Horos Value Internacional FI,,Horos,Fondo,Activa,Value,Acc,EUR,No,0.0186,4,RV,1,0,0,0,0.0678,0.7122,0,0.0593,0.0037,0,0,0,0.0531,0.0854,0,0,0,0,0,0.0777,0.0183,0.1596,0.3016,0.1229,0.1092,0.2108,0,Ninguna,0,0,0,0.1436,0.1596,0.1468,0.1112,1.11,0.0423,0.73
ES0165243025,MyInvestor Value Clase C,,MyInvestor,Fondo,Activa,Value,Acc,EUR,No,0.0145,4,RV,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131,,,0.3216,0.2657,0.0677,0.214,0,Ninguna,0,0,0,0.1955,,,,,,
